6893, 1386
12033, 2023
3607, 1050
9607, 1717
9501, 1751
6431, 1330
10597, 1838
9442, 1696
11023, 1885
11565, 2133
9664, 1711
13881, 2237
9722, 1748
9823, 1736
5984, 1274
9762, 1734
8387, 1572
10685, 1826
13318, 2173
7285, 1444
13735, 2227
8753, 1618
11944, 1991
6606, 1332
6527, 1398
14576, 2316
7570, 1498
12504, 2053
12882, 2123
6291, 1366
12372, 2073
6537, 1325
13055, 2139
9829, 1730
12930, 2113
9960, 1742
10950, 1885
6090, 1258
9499, 1727
5223, 1169
3362, 975
12538, 2090
9989, 1743
7895, 1715
10177, 1848
7386, 1461
11740, 1998
10448, 1849
8889, 1627
11667, 1993
10501, 1804
8913, 1621
11751, 1999
9021, 1630
12012, 1989
10126, 1796
6584, 1335
4999, 1181
13431, 2156
4553, 1114
11877, 1981
11982, 2005
5999, 1278
10843, 1884
9160, 1651
6696, 1384
12755, 2068
8142, 1554
11043, 1879
9835, 1726
8220, 1595
11800, 1984
9758, 1735
10893, 1870
6293, 1299
11485, 1944
6995, 1391
9007, 1676
10750, 2041
8597, 1595
10267, 1790
11046, 1863
11318, 1902
6553, 1361
13061, 2107
13339, 2168
9047, 1638
13480, 2203
8864, 1604
8486, 1607
13460, 2160
8086, 1563
9051, 1692
13475, 2218
11388, 1972
10918, 1913
5855, 1299
10370, 1780
11316, 1977
9847, 1730
