2684, 34
5766, 42
2612, 43
12336, 63
7507, 46
6369, 41
11065, 61
12140, 57
20083, 82
22280, 90
16011, 64
3908, 36
4640, 38
7799, 46
5332, 52
8483, 47
10289, 53
11817, 55
20544, 78
10291, 53
19555, 81
12161, 54
3448, 34
4299, 40
3562, 42
17509, 70
6029, 51
10305, 52
17755, 79
7417, 45
16112, 67
7753, 47
20147, 83
14430, 60
3809, 38
5976, 42
6038, 43
4462, 39
7544, 55
8430, 52
3529, 37
9913, 51
15590, 74
11097, 54
14515, 72
16687, 81
17280, 70
15756, 64
27433, 98
3516, 40
4267, 37
10223, 54
7882, 46
6574, 47
15681, 65
14385, 77
16455, 70
6577, 43
18743, 79
9415, 51
21467, 90
19933, 84
1993, 37
4437, 39
8502, 49
4606, 44
9341, 62
10185, 61
18753, 122
16670, 69
14420, 146
20495, 118
3870, 65
6130, 72
4011, 62
7680, 88
7221, 83
8302, 83
10424, 85
22682, 89
9356, 51
3689, 37
6851, 49
4735, 52
9480, 57
14473, 65
11980, 61
14034, 62
15857, 84
10819, 57
17921, 78
16842, 71
12304, 64
22349, 88
3310, 35
8458, 49
3187, 35
9972, 57
9057, 51
14196, 73
9507, 52
15591, 73
17690, 77
17705, 79
16669, 69
16971, 85
26642, 95
9445, 50
3230, 50
3966, 49
7844, 49
6059, 45
7123, 46
10663, 55
9331, 67
9947, 57
9765, 52
18179, 72
12990, 72
24161, 100
23111, 79
2941, 43
2733, 39
6543, 46
8437, 48
7513, 66
13209, 61
13771, 74
22504, 94
10415, 50
4978, 53
8092, 59
9663, 53
10722, 54
11169, 60
8230, 57
13222, 69
11760, 58
18340, 83
18078, 83
12095, 68
15796, 70
20265, 78
11049, 56
17398, 68
1578, 32
6421, 56
10807, 56
8301, 51
6731, 47
10699, 57
16071, 87
11764, 57
12614, 79
6899, 47
23378, 82
12545, 74
3381, 38
4735, 38
4118, 36
8104, 49
10074, 51
15909, 64
15965, 75
13145, 67
20050, 75
15426, 71
14420, 73
11964, 65
17560, 82
11565, 56
4743, 39
6530, 44
5455, 52
8016, 48
3212, 36
3583, 35
13600, 62
7869, 48
21059, 76
8746, 61
16522, 63
2663, 35
7736, 45
6535, 49
7417, 46
15282, 74
12627, 58
19616, 87
5375, 42
13646, 61
9092, 62
22743, 128
12344, 55
4370, 38
2413, 35
5206, 39
10113, 60
7439, 45
17320, 70
19308, 77
4649, 43
2570, 33
2418, 41
3388, 36
6233, 42
13206, 69
13246, 61
13964, 61
20185, 87
13082, 63
13770, 61
25373, 88
10179, 50
4495, 46
6712, 46
6708, 43
8987, 52
7307, 44
10968, 61
13216, 72
17974, 73
23343, 92
3389, 36
1488, 32
6999, 44
11739, 66
4912, 41
5748, 42
6303, 47
12765, 60
10291, 53
21125, 89
17642, 67
2221, 34
3867, 38
7146, 43
6913, 52
10031, 63
5434, 42
12846, 60
17238, 79
24324, 87
9911, 57
2310, 34
4031, 37
10047, 55
7730, 46
13214, 61
8429, 51
18304, 85
5294, 40
19081, 73
12480, 59
13016, 62
15081, 86
16095, 62
3596, 37
7226, 53
8045, 48
8769, 49
7314, 62
9395, 53
9826, 51
11101, 56
11246, 61
17725, 66
2433, 41
6136, 43
6363, 44
9051, 59
13162, 61
5409, 47
14596, 75
19077, 74
16257, 83
10964, 55
20136, 75
4354, 53
1919, 37
7393, 51
8650, 50
7700, 47
6584, 45
11482, 94
14912, 65
15102, 64
20994, 79
12130, 60
16125, 80
18911, 74
4217, 38
5836, 53
8473, 50
8763, 49
9316, 60
19594, 77
14441, 74
17131, 70
16529, 75
12357, 61
17132, 66
1866, 34
3237, 36
6719, 45
10375, 55
8491, 57
8806, 48
14917, 65
10316, 64
11731, 56
27946, 100
4751, 39
5291, 42
3970, 38
10336, 55
8651, 47
10284, 54
16188, 75
17560, 70
10589, 54
13494, 58
19638, 80
16356, 76
17175, 69
17707, 79
15939, 64
5157, 40
4895, 54
4224, 41
4374, 39
8210, 46
6001, 43
11671, 54
11741, 67
11984, 56
20117, 77
15300, 65
21601, 84
3454, 43
4691, 41
3575, 35
4543, 38
11423, 63
11285, 62
9192, 49
16730, 78
24215, 85
7253, 45
2725, 36
3642, 38
8481, 50
11540, 66
19003, 76
5630, 41
14126, 63
18330, 106
4955, 51
11095, 55
22090, 80
15263, 71
4184, 39
5030, 48
4934, 42
8906, 49
8685, 51
11267, 67
12402, 58
11881, 67
12114, 60
13862, 62
20933, 79
20074, 83
20156, 80
3492, 36
5511, 41
5018, 40
3434, 44
4239, 38
9874, 52
14521, 72
10969, 54
20365, 81
9072, 51
16248, 65
1347, 36
4518, 44
4325, 39
3910, 37
9792, 53
18574, 73
16598, 72
12028, 68
7950, 49
11655, 56
22863, 90
17432, 67
2969, 45
4007, 37
6944, 45
11116, 58
8756, 57
12953, 63
12192, 73
13481, 64
22816, 87
21125, 81
5306, 41
5768, 54
4129, 36
7214, 45
6473, 46
19465, 85
17043, 69
11236, 65
12782, 59
10863, 58
17129, 69
14807, 62
1465, 38
2890, 35
6702, 46
7698, 47
10426, 52
12753, 60
14613, 68
10666, 65
7129, 44
17072, 68
18866, 80
10491, 52
18121, 112
17824, 84
22840, 85
14592, 58
3840, 45
4913, 40
13283, 62
6016, 45
7649, 46
25350, 96
9734, 75
4477, 37
2884, 36
7081, 47
7781, 56
12901, 58
15228, 75
15516, 65
23722, 88
16951, 66
5772, 43
4317, 47
7054, 87
7622, 66
6582, 62
6931, 69
11669, 100
14951, 91
17774, 116
13910, 122
20702, 87
6536, 344
7471, 48
8047, 46
11819, 61
10468, 74
12869, 61
16809, 70
17729, 80
16926, 101
10358, 53
19597, 77
6677, 46
22844, 84
5751, 53
3054, 35
6758, 45
6448, 44
8712, 57
4962, 40
11912, 72
11548, 59
8350, 49
13628, 66
18140, 83
21709, 91
21923, 89
12531, 62
1427, 32
4225, 42
5787, 43
9351, 63
14886, 64
11926, 58
24385, 90
8253, 65
2693, 44
5044, 40
3365, 37
11541, 54
14067, 70
10706, 65
20719, 88
4972, 42
18713, 78
7364, 50
19397, 73
14591, 90
3069, 44
