30542, 130, 23.5383, 
54956, 105, 36.7985, 
22488, 69, 12.5906, 
36330, 48, 47.2117, 
35464, 137, 24.537, 
22654, 74, 17.6722, 
46940, 91, 27.0204, 
31554, 56, 26.8648, 
32462, 46, 39.2015, 
35310, 115, 39.9872, 
24372, 63, 37.9605, 
39398, 80, 35.3763, 
21328, 45, 29.1875, 
23334, 38, 37.5089, 
24538, 113, 20.662, 
50474, 121, 27.8291, 
26308, 50, 29.2883, 
25774, 45, 28.9133, 
38048, 53, 45.1952, 
20360, 39, 20.4515, 
31714, 43, 35.1531, 
33382, 119, 28.4477, 
51136, 113, 30.4923, 
25036, 49, 26.3316, 
35428, 86, 16.7219, 
55738, 64, 67.4171, 
37532, 157, 19.4477, 
26852, 56, 28.1773, 
27484, 42, 43.9031, 
27748, 138, 16.3112, 
29178, 62, 31.7972, 
31596, 100, 13.8036, 
25624, 43, 33.5153, 
46166, 148, 31.3265, 
27050, 51, 33.5204, 
44536, 74, 37.3189, 
27808, 56, 28.1467, 
17156, 41, 17.5344, 
28274, 52, 24.2079, 
21010, 35, 23.3929, 
25184, 184, 8.6926, 
25286, 59, 21.5523, 
24470, 45, 30.7245, 
52490, 104, 20.0702, 
23154, 41, 24.0676, 
30310, 124, 25.463, 
44622, 121, 24.4235, 
43336, 100, 20.8916, 
37026, 52, 49.0969, 
36188, 127, 30.4974, 
28244, 74, 25.7194, 
31136, 53, 48.4158, 
25460, 55, 29.9681, 
41214, 95, 21.2143, 
50024, 74, 43.6071, 
31136, 45, 34.9566, 
38286, 126, 36.1849, 
24522, 101, 13.0612, 
25388, 47, 33.6964, 
55434, 147, 15.7168, 
31908, 50, 33.0306, 
41580, 137, 40.9196, 
42230, 161, 17.5472, 
26498, 49, 27.9426, 
30858, 51, 40.2985, 
33096, 168, 17.4477, 
43936, 105, 30.3508, 
32122, 69, 28.2283, 
34100, 68, 45.6365, 
38922, 135, 36.8584, 
38052, 97, 28.5855, 
29604, 50, 53.0982, 
41470, 156, 34.838, 
31166, 74, 37.6135, 
24830, 82, 19.1454, 
35940, 77, 29.4184, 
18838, 38, 22.9324, 
36880, 72, 23.3431, 
21806, 35, 26.0548, 
36392, 99, 49.3648, 
36380, 95, 26.3508, 
19392, 37, 33.5332, 
26910, 41, 42.8954, 
30416, 130, 22.8852, 
55298, 105, 36.0791, 
28572, 46, 46.3125, 
29328, 102, 33.2156, 
40460, 92, 34.9222, 
40312, 82, 35.1913, 
20214, 49, 21.602, 
22068, 39, 32.3776, 
28022, 114, 27.9643, 
40018, 133, 18.6888, 
31538, 43, 45.8214, 
34762, 122, 29.3712, 
32822, 56, 52.2628, 
41710, 129, 15.0548, 
29098, 45, 38.7156, 
34814, 128, 29.2436, 
34710, 73, 39.1008, 
58430, 141, 23.176, 
26090, 41, 34.0561, 
41292, 122, 35.301, 
37260, 81, 32.1492, 
53510, 110, 27.861, 
